,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
117,AZ,Santa Cruz County,23.6,39265.0,2017,9.616666666666667,56.97,8.33,41824609.0,5.0,50.13748620170597
118,AZ,Yavapai County,13.9,49860.0,2017,4.583333333333333,56.97,8.33,41824609.0,5.0,60.41679891794409
119,AZ,Yuma County,19.0,46013.0,2017,17.183333333333334,56.97,8.33,41824609.0,5.0,61.481515430677106
120,AZ,Apache County,37.3,33652.0,2018,9.95,54.945,8.37,95355516.0,5.0,47.09029100529101
121,AZ,Cochise County,15.1,49164.0,2018,5.6083333333333325,54.945,8.37,95355516.0,5.0,59.03445674044266
122,AZ,Coconino County,15.9,60187.0,2018,5.525,54.945,8.37,95355516.0,5.0,59.04523337222871
123,AZ,Gila County,20.4,43585.0,2018,5.8,54.945,8.37,95355516.0,5.0,52.68698473282443
124,AZ,Graham County,20.2,50157.0,2018,5.091666666666667,54.945,8.37,95355516.0,5.0,52.91168863261944
125,AZ,Greenlee County,10.5,65818.0,2018,4.175,54.945,8.37,95355516.0,5.0,57.932223168654176
126,AZ,La Paz County,23.7,37350.0,2018,6.25,54.945,8.37,95355516.0,5.0,52.4721285475793
127,AZ,Maricopa County,12.3,65234.0,2018,4.133333333333333,54.945,8.37,95355516.0,5.0,58.03871196754564
128,AZ,Mohave County,16.8,45129.0,2018,5.708333333333332,54.945,8.37,95355516.0,5.0,59.20564420584969
129,AZ,Navajo County,28.5,40650.0,2018,7.7,54.945,8.37,95355516.0,5.0,48.882845303867406
130,AZ,Pima County,16.2,53395.0,2018,4.433333333333334,54.945,8.37,95355516.0,5.0,58.42577544426494
131,AZ,Pinal County,12.9,58848.0,2018,5.0,54.945,8.37,95355516.0,5.0,58.54835195530726
132,AZ,Santa Cruz County,24.4,40545.0,2018,9.225,54.945,8.37,95355516.0,5.0,48.25087360594796
133,AZ,Yavapai County,13.2,48758.0,2018,4.441666666666666,54.945,8.37,95355516.0,5.0,58.26838214454417
134,AZ,Yuma County,19.5,44116.0,2018,16.925,54.945,8.37,95355516.0,5.0,45.884258750857924
135,AZ,Apache County,33.4,35386.0,2019,10.075,52.92,8.4,66078612.0,5.0,45.179804485336405
136,AZ,Cochise County,16.6,48650.0,2019,5.791666666666668,52.92,8.4,66078612.0,5.0,57.21363602530704
137,AZ,Coconino County,15.9,58301.0,2019,5.758333333333333,52.92,8.4,66078612.0,5.0,57.14735667564448
138,AZ,Gila County,21.1,45980.0,2019,5.683333333333334,52.92,8.4,66078612.0,5.0,50.68132545115122
139,AZ,Graham County,20.1,50685.0,2019,4.941666666666666,52.92,8.4,66078612.0,5.0,50.93675540765391
140,AZ,Greenlee County,9.3,68066.0,2019,4.008333333333333,52.92,8.4,66078612.0,5.0,55.721064495929866
141,AZ,La Paz County,22.1,39407.0,2019,6.0166666666666675,52.92,8.4,66078612.0,5.0,50.55541790160048
142,AZ,Maricopa County,12.2,68634.0,2019,4.183333333333334,52.92,8.4,66078612.0,5.0,56.03515768056969
143,AZ,Mohave County,16.0,49712.0,2019,5.8583333333333325,52.92,8.4,66078612.0,5.0,57.20821959588258
144,AZ,Navajo County,25.2,40676.0,2019,7.575,52.92,8.4,66078612.0,5.0,47.095743707093824
145,AZ,Pima County,14.0,56150.0,2019,4.55,52.92,8.4,66078612.0,5.0,56.353962264150944
146,AZ,Pinal County,12.1,62067.0,2019,5.05,52.92,8.4,66078612.0,5.0,56.48297376093295
147,AZ,Santa Cruz County,18.8,47779.0,2019,8.733333333333333,52.92,8.4,66078612.0,5.0,46.95680387409201
148,AZ,Yavapai County,12.0,54242.0,2019,4.558333333333334,52.92,8.4,66078612.0,5.0,56.22347257171616
149,AZ,Yuma County,20.4,47024.0,2019,16.833333333333332,52.92,8.4,66078612.0,5.0,43.69708146821844
150,AZ,Mohave County,19.55,39853.5,2015,7.941666666666666,63.0,8.25,40260979.0,5.0,68.64751439830252
151,AZ,Yuma County,20.950000000000006,41349.0,2015,21.68333333333333,63.0,8.25,40260979.0,5.0,52.34482017200938
152,AZ,Yavapai County,14.45,46984.5,2015,5.625,63.0,8.25,40260979.0,5.0,67.04887920298879
153,AZ,Santa Cruz County,22.25,38277.5,2015,11.541666666666664,63.0,8.25,40260979.0,5.0,55.40043156596794
154,AZ,Pinal County,16.5,51259.0,2015,6.308333333333334,63.0,8.25,40260979.0,5.0,67.56357325538912
155,AZ,Pima County,18.45,46757.5,2015,5.4833333333333325,63.0,8.25,40260979.0,5.0,67.22705431754875
156,AZ,Navajo County,28.35,36448.5,2015,9.691666666666666,63.0,8.25,40260979.0,5.0,55.777426067907996
157,AZ,Maricopa County,16.05,56335.5,2015,5.15,63.0,8.25,40260979.0,5.0,66.89893867924528
158,AZ,Graham County,21.45,46380.0,2015,7.366666666666667,63.0,8.25,40260979.0,5.0,60.25827067669173
159,AZ,Greenlee County,11.15,60263.0,2015,7.95,63.0,8.25,40260979.0,5.0,67.64096858638743
160,AZ,La Paz County,23.8,33409.0,2015,7.4833333333333325,63.0,8.25,40260979.0,5.0,60.15338305807139
161,AZ,Gila County,22.35,39212.0,2015,7.925,63.0,8.25,40260979.0,5.0,60.07475227085054
162,AZ,Coconino County,19.55,51148.0,2015,6.5166666666666675,63.0,8.25,40260979.0,5.0,67.8875
163,AZ,Cochise County,19.9,45088.0,2015,7.283333333333332,63.0,8.25,40260979.0,5.0,68.33188228080932
164,AZ,Apache County,33.15000000000001,33203.0,2015,13.316666666666665,63.0,8.25,40260979.0,5.0,53.49969512195122
165,AR,Arkansas County,18.6,38129.0,2010,17.933333333333334,63.7,10.0,11426048.0,7.0,68.26514598540146
166,AR,Ashley County,19.4,37042.0,2010,9.575,63.7,10.0,11426048.0,7.0,66.90543572044866
167,AR,Baxter County,15.7,34421.0,2010,9.1,63.7,10.0,11426048.0,7.0,66.5804435483871
168,AR,Benton County,10.2,52417.0,2010,6.375,63.7,10.0,11426048.0,7.0,67.62307692307692
169,AR,Boone County,16.0,35532.0,2010,7.533333333333332,63.7,10.0,11426048.0,7.0,68.82181303116147
170,AR,Bradley County,28.5,31047.0,2010,10.091666666666667,63.7,10.0,11426048.0,7.0,56.24729000215936
171,AR,Calhoun County,15.6,36955.0,2010,8.416666666666666,63.7,10.0,11426048.0,7.0,69.16703678001389
172,AR,Carroll County,16.4,33789.0,2010,7.1,63.7,10.0,11426048.0,7.0,68.65489361702127
173,AR,Chicot County,30.7,27321.0,2010,11.908333333333333,63.7,10.0,11426048.0,7.0,55.11985135928027
174,AR,Clark County,22.2,33433.0,2010,8.108333333333333,63.7,10.0,11426048.0,7.0,60.73043717349464
175,AR,Clay County,18.3,31976.0,2010,10.616666666666667,63.7,10.0,11426048.0,7.0,67.05939481268013
176,AR,Cleburne County,18.6,35472.0,2010,8.291666666666666,63.7,10.0,11426048.0,7.0,69.43504803222808
177,AR,Cleveland County,15.5,40402.0,2010,8.1,63.7,10.0,11426048.0,7.0,69.01991525423729
178,AR,Columbia County,25.6,34538.0,2010,9.633333333333333,63.7,10.0,11426048.0,7.0,56.700567644276255
179,AR,Conway County,18.2,37475.0,2010,9.308333333333334,63.7,10.0,11426048.0,7.0,66.7792790063617
180,AR,Craighead County,21.1,37780.0,2010,7.116666666666667,63.7,10.0,11426048.0,7.0,61.03913171884229
181,AR,Crawford County,15.8,39672.0,2010,7.9,63.7,10.0,11426048.0,7.0,68.96666666666667
182,AR,Crittenden County,30.3,33938.0,2010,10.1,63.7,10.0,11426048.0,7.0,56.125
183,AR,Cross County,19.6,35080.0,2010,7.991666666666667,63.7,10.0,11426048.0,7.0,69.376955602537
184,AR,Dallas County,19.4,31350.0,2010,11.491666666666667,63.7,10.0,11426048.0,7.0,67.30838953331535
185,AR,Desha County,28.0,29586.0,2010,10.708333333333334,63.7,10.0,11426048.0,7.0,55.954036598493005
186,AR,Drew County,20.9,34952.0,2010,10.383333333333333,63.7,10.0,11426048.0,7.0,67.16848694725627
187,AR,Faulkner County,14.8,46199.0,2010,6.941666666666666,63.7,10.0,11426048.0,7.0,68.42533537753928
188,AR,Franklin County,17.2,38514.0,2010,7.433333333333334,63.7,10.0,11426048.0,7.0,68.89025710419486
189,AR,Fulton County,18.9,30191.0,2010,7.541666666666668,63.7,10.0,11426048.0,7.0,69.09063977308541
190,AR,Garland County,21.7,36690.0,2010,8.133333333333333,63.7,10.0,11426048.0,7.0,60.74201117318436
191,AR,Grant County,11.9,45347.0,2010,6.808333333333334,63.7,10.0,11426048.0,7.0,68.03064587973275
192,AR,Greene County,17.0,36391.0,2010,9.341666666666667,63.7,10.0,11426048.0,7.0,66.71439417905727
193,AR,Hempstead County,21.8,31786.0,2010,8.908333333333333,63.7,10.0,11426048.0,7.0,57.37592944369064
194,AR,Hot Spring County,15.3,37243.0,2010,8.25,63.7,10.0,11426048.0,7.0,69.05987261146497
195,AR,Howard County,21.0,32543.0,2010,7.45,63.7,10.0,11426048.0,7.0,60.95043936731108
196,AR,Independence County,18.2,35888.0,2010,8.475,63.7,10.0,11426048.0,7.0,69.48238050609184
197,AR,Izard County,18.6,29883.0,2010,9.716666666666667,63.7,10.0,11426048.0,7.0,66.89123013537375
198,AR,Jackson County,25.8,30405.0,2010,11.45,63.7,10.0,11426048.0,7.0,55.769530201342285
199,AR,Jefferson County,22.7,35092.0,2010,10.083333333333334,63.7,10.0,11426048.0,7.0,56.718047788510425
200,AR,Johnson County,21.9,32326.0,2010,7.941666666666666,63.7,10.0,11426048.0,7.0,60.7859117564926
201,AR,Lafayette County,23.2,29084.0,2010,9.375,63.7,10.0,11426048.0,7.0,57.0231005372218
202,AR,Lawrence County,22.4,32869.0,2010,9.183333333333334,63.7,10.0,11426048.0,7.0,57.18686015831135
203,AR,Lee County,37.5,25944.0,2010,8.216666666666667,63.7,10.0,11426048.0,7.0,60.3300583302953
204,AR,Lincoln County,28.5,35070.0,2010,9.066666666666666,63.7,10.0,11426048.0,7.0,56.82156166814552
205,AR,Little River County,17.8,37260.0,2010,7.458333333333332,63.7,10.0,11426048.0,7.0,68.95602111514351
206,AR,Logan County,17.1,36015.0,2010,8.241666666666667,63.7,10.0,11426048.0,7.0,69.26129562643868
207,AR,Lonoke County,12.4,50021.0,2010,6.4833333333333325,63.7,10.0,11426048.0,7.0,67.95736981465137
208,AR,Madison County,19.3,34547.0,2010,6.816666666666666,63.7,10.0,11426048.0,7.0,68.73746011486918
209,AR,Marion County,19.5,31438.0,2010,9.766666666666667,63.7,10.0,11426048.0,7.0,66.95370159453303
210,AR,Miller County,20.1,37806.0,2010,5.6,63.7,10.0,11426048.0,7.0,68.07976653696498
211,AR,Mississippi County,25.0,32169.0,2010,11.941666666666665,63.7,10.0,11426048.0,7.0,55.61856530566208
212,AR,Monroe County,26.6,28637.0,2010,8.883333333333333,63.7,10.0,11426048.0,7.0,57.04062940347581
213,AR,Montgomery County,22.2,32032.0,2010,8.4,63.7,10.0,11426048.0,7.0,60.65294117647059
214,AR,Nevada County,25.2,32896.0,2010,9.583333333333334,63.7,10.0,11426048.0,7.0,56.75701964542405
215,AR,Newton County,23.3,30965.0,2010,6.65,63.7,10.0,11426048.0,7.0,61.113272120200335
216,AR,Ouachita County,20.3,35971.0,2010,9.141666666666667,63.7,10.0,11426048.0,7.0,66.8515850551939
217,AR,Perry County,16.8,39054.0,2010,8.591666666666667,63.7,10.0,11426048.0,7.0,69.38454217262881
