State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,La Paz County,23.2,33994.0,2013,8.233333333333333,64.65,8.17,46269358.0,5.0,61.61161187698834,20522,0.31,71579.49271796795,9019.3,439.0,25453.0,-353.9526971280399
AZ,Maricopa County,17.6,52066.0,2013,6.625,64.65,8.17,46269358.0,5.0,69.46320949432405,4017723,60.57,14013574.418736592,2972901.5,6327.0,25453.0,-998708.7345695989
AZ,Mohave County,21.3,38560.0,2013,10.433333333333334,64.65,8.17,46269358.0,5.0,71.6530462184874,203126,3.06,708491.1820402475,104315.7,2272.0,25453.0,-18131.54724393981
AZ,Navajo County,31.8,37182.0,2013,13.55,64.65,8.17,46269358.0,5.0,55.14856670341786,107135,1.62,373680.38945227064,59204.0,559.0,25453.0,-2352.903979884493
AZ,Pima County,19.3,43926.0,2013,6.808333333333334,64.65,8.17,46269358.0,5.0,69.68290775614427,997127,15.03,3477918.5671664183,494894.9,10285.0,25453.0,-402917.18834714964
AZ,Pinal County,16.7,49887.0,2013,8.125,64.65,8.17,46269358.0,5.0,70.1157603222558,385398,5.81,1344244.8754760458,189498.4,158.0,25453.0,-2392.365693631399
AZ,Santa Cruz County,22.7,35753.0,2013,15.45,64.65,8.17,46269358.0,5.0,55.45694626474443,46939,0.71,163720.38829980986,21806.3,204.0,25453.0,-376.20539818488976
AZ,Yavapai County,16.4,40486.0,2013,7.791666666666668,64.65,8.17,46269358.0,5.0,69.93212194281779,214421,3.23,747887.457756525,109647.1,1402.0,25453.0,-11810.71944368051
AZ,Yuma County,19.2,40498.0,2013,25.575,64.65,8.17,46269358.0,5.0,70.13341708542714,202420,3.05,706028.6968117666,104044.0,1342.0,25453.0,-10672.519545829568
AZ,Apache County,33.1,32366.0,2014,15.683333333333335,62.2,8.18,59156404.0,5.0,51.55869490946362,71796,1.07,315522.47845592827,51645.8,265.0,25964.0,-732.7815436758589
AZ,Cochise County,18.7,45025.0,2014,8.433333333333334,62.2,8.18,59156404.0,5.0,68.01216216216217,127314,1.89,559507.8948985746,84289.7,0.0,25964.0,0.0
AZ,Coconino County,21.3,48653.0,2014,7.133333333333333,62.2,8.18,59156404.0,5.0,59.52813599062135,137566,2.04,604562.4445828213,90236.7,550.0,25964.0,-2914.0848867662917
AZ,Gila County,24.4,37677.0,2014,8.325,62.2,8.18,59156404.0,5.0,59.09640947288006,53044,0.79,233112.908061957,40770.2,474.0,25964.0,-968.373748266831
AZ,Graham County,20.0,46046.0,2014,7.441666666666666,62.2,8.18,59156404.0,5.0,67.62362587306407,38099,0.57,167433.99223762346,31714.8,299.0,25964.0,-438.7459944538592
AZ,Greenlee County,10.3,59416.0,2014,6.666666666666668,62.2,8.18,59156404.0,5.0,66.24715127701376,9349,0.14,41086.12807237833,5323.8,0.0,25964.0,0.0
AZ,La Paz County,22.8,32533.0,2014,7.616666666666667,62.2,8.18,59156404.0,5.0,59.34531506849315,20516,0.3,90161.83586831893,11897.8,450.0,25964.0,-355.57695270374364
AZ,Maricopa County,17.1,53929.0,2014,5.808333333333334,62.2,8.18,59156404.0,5.0,66.53564932702801,4093648,60.82,17990388.91980269,3544258.1,6136.0,25964.0,-967440.4609459251
AZ,Mohave County,20.8,37704.0,2014,8.733333333333333,62.2,8.18,59156404.0,5.0,68.3507900677201,203423,3.02,893984.7503334491,1079350.1,2318.0,25964.0,-18161.088969342167
AZ,Navajo County,28.5,35457.0,2014,11.083333333333336,62.2,8.18,59156404.0,5.0,54.22,107701,1.6,473314.4806421241,72813.7,568.0,25964.0,-2356.1149283623477
AZ,Pima County,18.7,45871.0,2014,6.05,62.2,8.18,59156404.0,5.0,66.77111111111111,1004229,14.92,4413293.540271303,1579806.3,10175.0,25964.0,-393546.0666692343
AZ,Pinal County,17.6,49876.0,2014,7.0166666666666675,62.2,8.18,59156404.0,5.0,67.21665538253217,395322,5.87,1737324.882001149,242181.6,3209.0,25964.0,-48859.50924356801
AZ,Santa Cruz County,23.6,37465.0,2014,12.95,62.2,8.18,59156404.0,5.0,53.83830369357045,46636,0.69,204951.61715514335,27346.7,242.0,25964.0,-434.6753967031274
AZ,Yavapai County,15.6,44145.0,2014,6.366666666666667,62.2,8.18,59156404.0,5.0,66.72139605462823,217716,3.23,956798.3163339308,137425.1,0.0,25964.0,0.0
AZ,Yuma County,22.6,39700.0,2014,22.891666666666666,62.2,8.18,59156404.0,5.0,50.827550833486,204054,3.03,896757.8112826062,129657.9,1278.0,25964.0,-10043.9459251271
AZ,Apache County,33.2,34040.0,2016,11.633333333333333,63.4,8.25,48282977.0,5.0,54.785278810408926,71381,1.03,248267.64376143922,42601.8,0.0,22848.0,0.0
