State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings
AZ,Maricopa County,15.0,58742.0,2016,4.658333333333333,63.4,8.25,48282977.0,5.0,66.95447223399745,4256143,61.32,14803135.205751432,3078632.7
AZ,Mohave County,18.3,42003.0,2016,6.708333333333332,63.4,8.25,48282977.0,5.0,68.30886371209597,205412,2.96,714435.9597137157,105151.7
AZ,Navajo County,28.2,37440.0,2016,8.408333333333333,63.4,8.25,48282977.0,5.0,56.92292283177783,108467,1.56,377255.1031208868,50097.3
AZ,Pima County,18.2,47644.0,2016,5.033333333333333,63.4,8.25,48282977.0,5.0,67.3428981348637,1016707,14.65,3536171.4081584946,502950.9
AZ,Pinal County,15.4,52642.0,2016,5.625,63.4,8.25,48282977.0,5.0,67.52009512485137,417193,6.01,1451023.7052404154,203883.3
AZ,Santa Cruz County,20.9,39090.0,2016,10.208333333333334,63.4,8.25,48282977.0,5.0,56.54157514063756,46400,0.67,161382.14189393225,21559.3
AZ,Yavapai County,13.3,49824.0,2016,5.008333333333333,63.4,8.25,48282977.0,5.0,67.03827947200729,224575,3.24,781086.0887032291,114117.8
AZ,Yuma County,19.3,42998.0,2016,19.033333333333328,63.4,8.25,48282977.0,5.0,68.1914347826087,207247,2.99,720818.2060580123,105847.1
AZ,Apache County,33.1,33053.0,2017,10.425,56.97,8.33,41824609.0,5.0,49.04197013210797,71545,1.02,212403.33989576672,37652.3
AZ,Cochise County,16.1,48966.0,2017,5.641666666666668,56.97,8.33,41824609.0,5.0,61.147730931391344,124864,1.77,370697.19243476156,49386.7
AZ,Coconino County,18.4,54399.0,2017,5.616666666666667,56.97,8.33,41824609.0,5.0,61.273122831367104,141001,2.0,418604.8407106437,65149.1
AZ,Gila County,24.1,38897.0,2017,6.116666666666667,56.97,8.33,41824609.0,5.0,54.530755653612786,53578,0.76,159062.7737079515,30612.8
AZ,Graham County,20.9,46378.0,2017,5.525,56.97,8.33,41824609.0,5.0,54.7850898770104,37481,0.53,111273.87773615532,14386.8
AZ,Greenlee County,10.1,63557.0,2017,5.1,56.97,8.33,41824609.0,5.0,60.358815789473674,9443,0.13,28034.450187095186,3705.0
AZ,La Paz County,20.9,36389.0,2017,5.4833333333333325,56.97,8.33,41824609.0,5.0,54.7981427668983,20706,0.29,61472.130210101976,17424.9
AZ,Maricopa County,13.5,62221.0,2017,4.25,56.97,8.33,41824609.0,5.0,60.202394366197176,4327184,61.43,12846576.755098518,2797370.0
AZ,Mohave County,17.3,42210.0,2017,5.941666666666666,56.97,8.33,41824609.0,5.0,61.39269630692005,207017,2.94,614593.6433741273,91523.0
AZ,Navajo County,26.4,40883.0,2017,7.741666666666667,56.97,8.33,41824609.0,5.0,50.98376617036857,109079,1.55,323834.564434836,43230.7
AZ,Pima County,16.6,51392.0,2017,4.566666666666666,56.97,8.33,41824609.0,5.0,60.551417322834645,1026391,14.57,3047157.4035775512,437064.6
AZ,Pinal County,13.0,53114.0,2017,5.091666666666667,56.97,8.33,41824609.0,5.0,60.62868263473054,431564,6.13,1281230.4840139307,181396.8
AZ,Santa Cruz County,23.6,39265.0,2017,9.616666666666667,56.97,8.33,41824609.0,5.0,50.13748620170597,46566,0.66,138245.49480168108,18186.8
AZ,Yavapai County,13.9,49860.0,2017,4.583333333333333,56.97,8.33,41824609.0,5.0,60.4167989179441,228082,3.24,677131.5755134008,100046.4
